*-------------------------------
    CharFound   Adori $N.~
    OthersFound $n adora $N.~
    VictFound   $n mi guarda in completa adorazione.~
    CharAuto    Mi adoro, che vanesi$x!!~
    OthersAuto  $n si adora, che vanesi$x!!!~
EndMessages
End

#SOCIAL
Italian     pant ansimare ansare ansimo~
English     pant~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Ansimo per la fatica.~
    OthersNoArg $n ansima vistosamente riprendendo fiato.~
    CharFound   Ansimo per la fatica guardando $N.~
    OthersFound $n ansima vistosamente guardando $N.~
    VictFound   $n ansima vistosamente guardandomi.~
EndMessages
End

#SOCIAL
Italian     afflitto affranto addolorato dolore~
English     afflict~
Intention   INTENT_NEUTRAL
Expression  afflitto ~
Smiles      :< :-<~
Messages
    CharNoArg   Stringo gli occhi mentre il dolore mi segna il volto.~
    OthersNoArg $n stringe gli occhi con il volto segnato dal dolore .~
    CharFound   Stringo gli occhi guardando $N mentre il mio volto è segnato dal dolore.~
    OthersFound $n stringe $N, con il volto straziato dal dolore.~
    VictFound   $n mi guarda stringendo gli occhi mentre il suo volto è straziato dal dolore.~
EndMessages
End

#SOCIAL
Italian     ammicca occhiolino~
English     wink~
Intention   INTENT_FRIENDLY
Expression  ammiccando ~
Smiles      ;) ;-) .) .-)~
Messages
    CharNoArg   Faccio l'occhiolino.~
    OthersNoArg $n fa l'occhiolino.~
    CharFound   Ammicco a $N.~
    OthersFound $n ammicca fugacemente a $N.~
    VictFound   $n mi ammicca.~
EndMessages
End

#SOCIAL
Italian     annuisci annuisco~
English     nod~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Annuisco.~
    OthersNoArg $n annuisce.~
    CharFound   Annuisco a $N.~
    OthersFound $n annuisce a $N.~
    VictFound   $n mi annuisce.~
    CharAuto    Mi annuisco.~
    OthersAuto  $n si annuisce.~
EndMessages
End

#SOCIAL
Italian     clap applauso applaudo applaudire~
English     clap~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Applaudo con convinzione.~
    OthersNoArg $n applaude con convinzione.~
    CharFound   Applaudo a $N, bene! Ci voleva! Brav$X!~
    OthersFound $n applaude a $N, bene! Ci voleva! Brav$X!~
    VictFound   $n mi applaude festosamente! Bene! Ci voleva! Brav$X!~
    CharAuto    Mi applaudo orgogliosamente! Ma quanto sono brav$X!.~
    OthersAuto  $n si applaude da sol$X.. ma che simpatic$X!~
EndMessages
End

#SOCIAL
Italian     approvo approvare~
English     approve~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Approvo con decisione.~
    OthersNoArg $n approva con decisione.~
    CharFound   Approvo la proposta di $N.~
    OthersFound $n approva la proposta di $N.~
    VictFound   $n approva la mia proposta.~
    CharAuto    Mi approvo pienamente.~
    OthersAuto  $n approva le sue proposte.~
EndMessages
End

#SOCIAL
Italian     arghhh urlo urlare~
English     arghhh~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   ARRRRRRRRRRGH!!!!!~
    OthersNoArg $n urla ad alta voce: AAARRRGHHHH!!!!~
    CharFound   Urlo rivolt$x a $N : ARRRRRRRRRRGH!!!!!~
    OthersFound $n urla rivolt$x a $N : ARRRRRRRRRRGH!!!!!~
    VictFound   $n mi urla in faccia: AAAAARRRGHHHH!!!~
EndMessages
End

#SOCIAL
Italian     arrossisco arrossire~
English     blush~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Ho le guance in fiamme!~
    OthersNoArg $n arrossisce.~
    CharFound   La vergogna ti infiamma le guance mentre guardi $N.~
    OthersFound $n guarda $N, arrossendo in volto per l'imbarazzo.~
    VictFound   $n mi guarda, arrossendo in volto per l'imbarazzo.~
EndMessages
End

#SOCIAL
Italian     arruffa arruffare spettinare~
English     ruffle~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi arruffo i capelli~
    OthersNoArg $n si arruffa i capelli.~
    CharFound   Arruffo i capelli a $N.~
    OthersFound $n arruffa i capelli a $N.~
    VictFound   $n mi arruffa giocosamente i capelli.~
EndMessages
End

#SOCIAL
Italian     assopire sonnecchiare~
English     drowsy~
Intention   INTENT_NEUTRAL
Messages
   CharNoArg   Sbadiglio assopendomi vagamente..~
   OthersNoArg Gli occhi di $n sembrano diventare pesanti mentre si assopisce lentamente..~
   CharFound   Poggio il capo sulla spalla di $N e m'assopisco.~
   OthersFound $n poggia il capo sulla spalla di $N e s'assopisce.~
   VictFound   $n poggia il capo sulla mia spalla e s'assopisce.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'B'

#SOCIAL
Italian     bacio baciare~
English     kiss~
Intention   INTENT_FRIENDLY
Expression  baciando ~
Smiles      :* :-*~
Messages
    CharNoArg   Baciamo l'aria?~
    OthersNoArg $n manda baci a tutti i presenti.~
    CharFound   Bacio $N.~
    OthersFound $n bacia $N.~
    VictFound   $n mi bacia.~
    CharAuto    Mi bacio da sol$x, almeno io mi voglio bene!~
    OthersAuto  $n si bacia, lasciamol$x sol$x con se stess$x.~
EndMessages
End

#SOCIAL
Italian     bacino~
English     fondle~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi do un bacino.~
    OthersNoArg $n si dà un bacino sul palmo della mano.~
    CharFound   Do un tenero bacino a $N.~
    OthersFound $n dà un tenero bacino a $N.~
    VictFound   $n mi dà un tenero bacino.~
EndMessages
End

#SOCIAL
Italian     baffi furbetto~
English     lick~
Intention   INTENT_NEUTRAL
Expression  leccandosi i baffi ~
Smiles      :9 :-9~
Messages
    CharNoArg   Sorrido passando lentamente la lingua sopra le labbra.~
    OthersNoArg $n sorride passandosi la lingua sopra le labbra.~
    CharFound   Sorrido passandomi la lingua sopra le labbra guardando $N.~
    OthersFound $n sorride passandosi la lingua sopra le labbra mentre guarda $N.~
    VictFound   $n sorride passandosi la lingua sopra le labbra mentre mi guarda.~
EndMessages
End

#SOCIAL
Italian     barcollo barcollare~
English     stag~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Barcollo a destra e a manca.~
    OthersNoArg $n barcolla, sembra ubriac$x.~
    CharFound   Barcollo cercando di sorreggerti a $N.~
    OthersFound $n barcolla pericolosamente, appoggiandosi a $N un attimo prima di cadere.~
    VictFound   $n sta barcollando vistosamente, mi si appoggia addosso.~
EndMessages
End

#SOCIAL
Italian     botta manata~
English     bonk~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   C'è qualcuno da picchiare?~
    OthersNoArg $n cerca qualcuno da picchiare.~
    CharFound   Do una botta sulla testa di $N.~
    OthersFound $n dà una botta sulla testa di $N, *TOCTOC*!!~
    VictFound   $n mi dà una botta sulla testa, *AHHUCC*!!~
    CharAuto    Mi do una botta in testa.~
    OthersAuto  $n si dà una botta in testa.~
EndMessages
End

#SOCIAL
Italian     braccio parola permesso~
English     arm~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Alzo un braccio come per dire.. Posso?.~
    OthersNoArg $n alza un braccio.~
    CharFound   Interrompo $N chiedendo la parola.~
    OthersFound $n interrompe $N chiedendo la parola.~
    VictFound   $n mi interrompe chiedendo la parola.~
EndMessages
End

#SOCIAL
Italian     brindo brindare brindisi~
English     toast~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Brindo con tutti.~
    OthersNoArg $n brinda con tutti.~
    CharFound   Brindo con $N.~
    OthersFound $n e $N brindano assieme.~
    VictFound   $n brinda con me.~
    CharAuto    Brindo alla mia salute.~
    OthersAuto  $n brinda con tutti alla sua salute.~
EndMessages
End

#SOCIAL
Italian     broncio muso~
English     sulk~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Metto il broncio..~
    OthersNoArg $n mette il broncio.. ma pover$x..~
    CharFound   Guardo $N per un istante, poi mi giro altrove e metto il broncio.~
    OthersFound $n guarda $N per un attimo, poi si gira altrove e mette il broncio.~
    VictFound   $n mi guarda per un attimo, poi si gira mettendo il broncio!~
EndMessages
End

#SOCIAL
Italian     brontola brontolo brontolare~
English     rumble~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Brontolo infastidit$x.~
    OthersNoArg $n brontola infastidit$x.~
    CharFound   Brontolo infastidit$x verso $N.~
    OthersFound $n brontola infastidit$x verso $N.~
    VictFound   $n brontola infastidit$x verso di me.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'C'

#SOCIAL
Italian     canta canto~
English     sing~
Intention   INTENT_NEUTRAL
Expression  cantando ~
Smiles      :x :-x~
Messages
    CharNoArg   Canto.~
    OthersNoArg $n canta melodiosamente.~
    CharFound   Canto verso $N.~
    OthersFound $n canta guardando $N negli occhi.~
    VictFound   $n rivolge a me il suo sguardo mentre canta..~
EndMessages
End

#SOCIAL
Italian     chinare chino chinarsi~
English     lean~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi chino per terra.~
    OthersNoArg $n si china per terra.~
    CharFound   Mi chino verso $N.~
    OthersFound $n si china verso $N.~
    VictFound   $n si china verso di me.~
EndMessages
End

#SOCIAL
Italian     coccolo coccola coccolare~
English     cuddle~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Chi voglio coccolare..?~
    OthersNoArg $n sta cercando qualcuno da coccolare.~
    CharFound   Coccolo teneramente $N.~
    OthersFound $n coccola teneramente $N.~
    VictFound   $n mi coccola teneramente.~
    CharAuto    $n si dedica qualche coccola.~
    OthersAuto  $n si coccola per qualche minuto, che tener$x.~
EndMessages
End

#SOCIAL
Italian     compiaciuto soddisfatto~
English     pleased~
Intention   INTENT_FRIENDLY
Expression  compiaciuto ~
Smiles      :> :->~
Messages
    CharNoArg   Incrocio le braccia sul petto e sorrido con soddisfazione.~
    OthersNoArg $n incrocia le braccia sul petto e sorride con soddisfazione.~
    CharFound   Sorrido a $N con soddisfazione.~
    OthersFound $n sorride a $N con soddisfazione.~
    VictFound   $n mi sorride con soddisfazione.~
EndMessages
End

#SOCIAL
Italian     conforta confortare conforto~
English     confort~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi conforto da sol$x~
    OthersNoArg $n si conforta da sol$x.~
    CharFound   Mi avvicino a $N e provo a confortarl$X.~
    OthersFound $n si avvicina a $N e prova a confortarl$X.~
    VictFound   $n mi si avvicina e cerca di confortarmi.~
EndMessages
End

#SOCIAL
Italian     confuso smarrito confusione~
English     confused~
Intention   INTENT_NEUTRAL
Expression  confuso ~
Smiles      :\ :-\~
Messages
    CharNoArg   Batto lentamente le palpebre guardandomi attorno smarrit$x.~
    OthersNoArg $n batte lentamente le palpebre guardandosi attorno smarrit$x.~
    CharFound   Batto lentamente le palpebre guardando smarrit$x $N.~
    OthersFound $n batte lentamente le palpebre guardando smarrit$x $N.~
    VictFound   $n smarrit$x batte lentamente le palpebre guardandomi.~
EndMessages
End

#SOCIAL
Italian     congratuli congratulare congratulo~
English     congratule~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi congratulo con ..?~
    OthersNoArg $n si congratula vivamente con l'aria.~
    CharFound   Mi congratulo vivamente con $N!~
    OthersFound $n si congratula vivamente con $N!~
    VictFound   $n si congratula vivamente con me! Complimenti!~
    CharAuto    Mi compiaccio di me stess$x.. oh sì.~
    OthersAuto  $n si compiace di sé..~
EndMessages
End

#SOCIAL
Italian     cough tossire tosse tossisco~
English     cough~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tossisco discretamente..~
    OthersNoArg $n tossisce discretamente..~
    CharFound   Tossisco discretamente guardando $N.~
    OthersFound $n tossisce discretamente guardando $N.~
    VictFound   $n tossisce discretamente guardandomi.~
EndMessages
End

#SOCIAL
Italian     crudele perfido~
English     cruel~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Assumo in volto un'espressione malvagia e crudele, sogghignando.~
    OthersNoArg $n assume in volto un'espressione malvagia e crudele, sogghignando.~
    CharFound   Guardo $N in maniera crudele e spietata!~
    OthersFound $n guarda $N in maniera crudele e spietata! Che senza cuore!~
    VictFound   $n mi guarda in maniera crudele e spietata! Che senza cuore!~
EndMessages
End

#SOCIAL
Italian     cura curare gemere~
English     cure~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Le ferite mi bruciano! Ho bisogno di cure!~
    OthersNoArg $n urla dal dolore! Ha urgente bisogno di cure!~
    CharFound   Guardo $N invocando il suo aiuto! Ho bisogno di cure!~
    OthersFound $n guarda $N invocando il suo aiuto! Ha bisogno di cure!~
    VictFound   $n mi guarda invocando il mio aiuto! Ha bisogno di cure!~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'D'

#SOCIAL
Italian     danza ballare ballo~
English     dance~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Con chi potrei danzare?~
    OthersNoArg $n sta cercando qualcuno con cui danzare..~
    CharFound   Prendo $N strett$X a me in un dolce giro di danza.~
    OthersFound $n prende $N strett$X a sé in un dolce giro di danza.~
    VictFound   $n mi prende strett$X a sé in un dolce giro di danza.~
    CharAuto    Mi esibisco in un favoloso balletto singolo.~
    OthersAuto  ~
EndMessages
End

#SOCIAL
Italian     debole indebolito debolezza~
English     weak~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi sento talmente debole da non reggermi in piedi.~
    OthersNoArg $n si sente talmente debole da lasciarsi cadere a terra.~
    CharFound   Mi sento talmente debole da cadere.. tra le braccia di $N.~
    OthersFound $n si sente talmente debole da cadere.. tra le braccia di $N.~
    VictFound   $n si sente talmente debole da cadere.. tra le mie braccia.~
EndMessages
End

#SOCIAL
Italian     deglutisci deglutire~
English     swallow~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Deglutisco lentamente..~
    OthersNoArg $n deglutisce lentamente..~
    CharFound   Deglutisco lentamente guardando fisso $N.~
    OthersFound $n deglutisce lentamente guardando fisso $N.~
    VictFound   $n deglutisce lentamente guardandomi fisso~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'E'

#SOCIAL
Italian     ebete tonto~
English     dull~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Assumo un'espressione alquanto ebete..~
    OthersNoArg $n si guarda attorno in maniera ebete..~
    CharFound   Guardo $N con aria da ebete..~
    OthersFound $n guarda $N in modo ebete..~
    VictFound   $n mi guarda con espressione particolarmente ebete..~
EndMessages
End

#SOCIAL
Italian     eccellente superbo~
English     superb~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sghignazzo esclamando: 'Eccellente. Avanti così!'~
    OthersNoArg $n sogghigna esclamando: 'Eccellente. Avanti così!'~
    CharFound   Sghignazzo verso $N bisbigliando: 'Eccellente. Avanti così!'~
    OthersFound $n sghignazza verso $N bisbigliando: 'Eccellente. Avanti così!'~
    VictFound   $n sghignazza verso di me bisbigliandomi: 'Eccellente. Avanti così!'~
EndMessages
End

#SOCIAL
Italian     elsa presa spada~
English     hilt~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Stringo la presa sulla mia arma, pront$x a combattere.~
    OthersNoArg $n stringe la presa sulla sua arma, pront$x a combattere.~
    CharFound   Stringo l'elsa della mia spada, fissando $N con aria di sfida.~
    OthersFound $n stringe l'elsa della spada, fissando $N con aria di sfida.~
    VictFound   $n stringe l'elsa della spada, fissandomi con aria di sfida.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'F'

#SOCIAL
Italian     felice gioia allegro~
English     happy~
Intention   INTENT_FRIENDLY
Expression  felice ~
Smiles      :)) :-))~
Messages
    CharNoArg   Sorrido con gioia.~
    OthersNoArg $n sorride gioiosamente.~
    CharFound   Sorrido a $N gioiosamente.~
    OthersFound $n sorride gioiosamente a $N.~
    VictFound   $n mi rivolge con gioia un sorriso.~
EndMessages
End

#SOCIAL
Italian     fischietta fischiettare fischietto~
English     whistle~
Intention   INTENT_NEUTRAL
Expression  fischiettando ~
Smiles      :+ :-+~
Messages
    CharNoArg   Fischietto innocentemente..~
    OthersNoArg $n fischietta un allegro motivetto innocentemente..~
    CharFound   Fischietto innocentemente guardando $N.~
    OthersFound $n fischietta un allegro motivetto guardando $N innocentemente.~
    VictFound   $n fischietta un allegro motivetto guardandomi innocentemente.~
EndMessages
End

#SOCIAL
Italian     fissa fissare fisso~
English     stare~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Guardo fisso davanti a me, assort$x nei miei pensieri.~
    OthersNoArg $n guarda fisso davanti a sé, assort$x nei suoi pensieri.~
    CharFound   Guardo fisso $N, pers$x nei suoi occhi..~
    OthersFound $n guarda fisso $N, pers$x nei suoi occhi..~
    VictFound   $n mi guarda fisso, totalmente pers$x nei miei occhi.~
EndMessages
End

#SOCIAL
Italian     fletti muscoli~
English     stud~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi metto in posa mostrando i muscoli!~
    OthersNoArg $n si mette in posa mostrando i muscoli.. eh?~
    CharFound   Mi metto in posa mostrando i muscoli a $N!~
    OthersFound $n si mette in posa e mostra i muscoli a $N!~
    VictFound   $n si mette in posa e mi mostra i muscoli.. eh?~
EndMessages
End

#SOCIAL
Italian     french passione~
English     french~
Intention   INTENT_FRIENDLY
Expression  baciando appassionatamente ~
Smiles      :** :-**~
Messages
    CharNoArg   Mhh per chi è questo bacio?~
    OthersNoArg $n ha uno strano sguardo da maniac$x..~
    CharFound   Socchiudo gli occhi avvicinandomi a $N prendendo la sua bocca in un lungo e appassionato bacio.~
    OthersFound $n socchiude gli occhi baciando $N appassionatamente.~
    VictFound   $n socchiude gli occhi unendo le sue labbra alle mie in un lento e appassionato bacio..~
EndMessages
End

#SOCIAL
Italian     furbo furbizia~
English     sly~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sorrido furbamente.~
    OthersNoArg $n ha un sorriso furbetto sulle labbra..~
    CharFound   Sorrido furbamente a $N..~
    OthersFound $n sorride furbamente a $N.~
    VictFound   $n mi sorride furbamente..~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'G'

#SOCIAL
Italian     gela glaciale gelo~
English     chill~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Per chi è questo sguardo glaciale?~
    OthersNoArg $n lancia occhiate glaciali ai presenti.~
    CharFound   Ghiaccio $N con un'occhiataccia.~
    OthersFound $n gela $N con un'occhiataccia.~
    VictFound   $n mi gela con un'occhiataccia..~
EndMessages
End

#SOCIAL
Italian     inginocchio inginocchiarsi~
English     kneel~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi chino sulle ginocchia.~
    OthersNoArg $n s'inginocchia.~
    CharFound   Mi chino su di un ginocchio dinanzi a $N.~
    OthersFound $n si china su di un ginocchio dinanzi a $N.~
    VictFound   $n si china in ginocchio dinanzi a me.~
EndMessages
End

#SOCIAL
Italian     gomitata gomito~
English     nudge~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Tiro una gomitata.. nel vuoto.~
    OthersNoArg $n si gira colpendo con il gomito.. assolutamente nulla.~
    CharFound   Do una gomitatina sul fianco a $N.~
    OthersFound $n dà una gomitatina sul fianco a $N.~
    VictFound   $n mi dà una gomitatina sul fianco.~
EndMessages
End

#SOCIAL
Italian     groan gemito~
English     groan~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mormoro qualcosa rumorosamente.~
    OthersNoArg $n mormora rumorosamente.~
    CharFound   Mormoro qualcosa guardando $N.~
    OthersFound $n mormora qualcosa guardando $N.~
    VictFound   $n mormora qualcosa guardandomi.~
EndMessages
End

#SOCIAL
Italian     grunt grugnito grugnisco sgrunt~
English     grunt~
Intention   INTENT_NEUTRAL
Messages
   CharNoArg   Grugnisco stizzit$x.~
   OthersNoArg $n grugnisce stizzit$x.~
   CharFound   Grugnisco verso $N, stizzit$x.~
   OthersFound $n grugnisce stizzit$x verso $N.~
   VictFound   $n grugnisce stizzit$x verso di mte!~
EndMessages
End

#SOCIAL
Italian     grumble borbotto borbottare~
English     grumble~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Borbotto qualcosa.~
    OthersNoArg $n borbotta qualcosa sommessamente~
    CharFound   Borbotto qualcosa verso $N.~
    OthersFound $n borbotta qualcosa verso $N.~
    VictFound   $n mi borbotta qualcosa in faccia.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'H'

#SOCIAL
Italian     hic singhiozzo singhiozzare~
English     hic~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Singhiozzo rumorosamente..~
    OthersNoArg $n singhiozza rumorosamente..~
    CharFound   Singhiozzo rumorosamente verso $N!~
    OthersFound $n singhiozza rumorosamente verso $N!~
    VictFound   $n singhiozza rumorosamente verso di me.. cos'avrà bevuto?~
EndMessages
End

#SOCIAL
Italian     hfive cinque~
English     hfive~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Con chi quest'intesa favolosa?~
    OthersNoArg $n salta cercando d'acchiappare qualche mosca.~
    CharFound   Salto in aria e do un CINQUE a $N!!! Avanti così!!!~
    OthersFound $n salta in aria e da un cinque a $N!~
    VictFound   $n salta in aria e mi dà un CINQUE!!! Avanti così!!!~
EndMessages
End

#SOCIAL
Italian     hop balzello saltellare~
English     hop~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Salto tutt'intorno come una rana.~
    OthersNoArg $n salta tutt'intorno come una rana.~
    CharFound   Salto tutt'intorno a $N felicissim$x!~
    OthersFound $n salta felicissim$x tutt'intorno a $N!~
    VictFound   $n mi salta tutt'intorno felicissim$x!~
EndMessages
End

#SOCIAL
Italian     hummm pensieroso~
English     hummm~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Incrocio le mani sotto il mento pensieros$x.~
    OthersNoArg $n incrocia le mani sotto il mento pensieros$x.~
    CharFound   Guardo $N piuttosto pensieros$x.. hummm.~
    OthersFound $n guarda $N piuttosto pensieros$x..~
    VictFound   $n mi guarda piuttosto pensieros$X.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'I'

#SOCIAL
Italian     impreca insulto~
English     imprecate~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Impreco ad alta voce agitandomi e urlando.~
    OthersNoArg $n impreca urlando: @*&^%@*&!~
    CharFound   Impreco urlando in faccia a $N: @*&^%@*&!~
    OthersFound $n impreca urlando in faccia a $N: @*&^%@*&!~
    VictFound   $n impreca urlandomi in faccia: @*&^%@*&!~
EndMessages
End

#SOCIAL
Italian     inchino~
English     bow~
Intention   INTENT_FRIENDLY
Expression  inchinandosi ~
Smiles      :J :-J :j :-j~
Messages
    CharNoArg   Mi inchino profondamente.~
    OthersNoArg $n si produce in un profondo inchino.~
    CharFound   Mi inchino profondamente verso $N.~
    OthersFound $n si inchina verso $N.~
    VictFound   $n si produce in un profondo inchino verso di me.~
    CharAuto    Aaahh un po' di flessioni!~
    OthersAuto  $n si piega in avanti.. che stia facendo ginnastica?~
EndMessages
End

#SOCIAL
Italian     indeciso indecisione~
English     undecided~
Intention   INTENT_NEUTRAL
Expression  indeciso ~
Smiles      :/ :-/~
Messages
    CharNoArg   Poso le mani sui fianchi tentennando leggermente con il capo~
    OthersNoArg $n posa le mani sui fianchi tentennando leggermente con il capo~
    CharFound   Poso le mani sui fianchi e tentenno leggermente guardando $N.~
    OthersFound $n posa le mani sui fianchi e tentenna leggermente guardando $N.~
    VictFound   $n posa le mani sui fianchi e tentenna leggermente guardandomi.~
EndMessages
End

#SOCIAL
Italian     indica indicare indico~
English     point~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Chi dovrei indicare?~
    OthersNoArg $n indica un punto indefinito dell'orizzonte.~
    CharFound   Indico con la mano $N.~
    OthersFound $n indica con la mano $N.~
    VictFound   $n indica ME con la mano.~
    CharAuto    Indico me stess$x con la mano.~
    OthersAuto  $n indica se stess$x con la mano.~
EndMessages
End

#SOCIAL
Italian     innocente angelo~
English     innocent~
Intention   INTENT_NEUTRAL
Expression  innocentemente ~
Smiles      0:) 0:-)~
Messages
    CharNoArg   Batto le palpebre fischiettando innocentemente.~
    OthersNoArg $n batte le palpebre fischiettando innocentemente.~
    CharFound   Batto le palpebre sorridendo innocentemente a $N.~
    OthersFound $n batte le palpebre sorridendo innocentemente a $N.~
    VictFound   $n batte le palpebre guardandomi innocentemente.~
EndMessages
End

#SOCIAL
Italian     ironia ironico malizia~
English     irony~
Intention   INTENT_NEUTRAL
Expression  ironicamente ~
Smiles      :] :-]~
Messages
    CharNoArg   Sottolineo l'ironia con un sorrisetto malizioso.~
    OthersNoArg $n sottolinea l'ironia con un sorrisetto malizioso.~
    CharFound   Faccio notare a $N l'ironia con un sorrisetto malizioso.~
    OthersFound $n rivolge a $N un sorrisetto ironico.~
    VictFound   $n sottolinea l'ironia sorridendomi maliziosamente.~
EndMessages
End

*-------------------------------
* SOCIALI LETTERA  'L'

#SOCIAL
Italian     logorrea logorroico predica~
English     preach~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Parlo per ore ed ore..~
    OthersNoArg $n intavola un discorso di tre ore senza curarsi dei presenti..~
    CharFound   Intrattengo $N con la mia piacevole conversazione.~
    OthersFound $n ammorba $N con il suo milione di chiacchiere.~
    VictFound   $n vuole parlare di nuovo con me dei mali del mondo.. AIUTOO!!~
EndMessages
End

#SOCIAL
Italian     lento lentezza bradipo~
English     slow~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi muovo svelt$x come un bradipo~
    OthersNoArg $n si muove alla velocità di una lumaca morta.~
    CharFound   Mi aggrappo a $N chiedendogli di aspettarmi..~
    OthersFound $n chiede a $N di rallentare il passo.~
    VictFound   $n mi chiede di rallentare il passo.~
EndMessages
End

#SOCIAL
